,Date,Total Prism,Normal,Boost
174,2022-08-27,62328767.12328767,49863013.69863014,12465753.424657535
175,2022-08-28,62684931.50684931,50147945.20547945,12536986.301369863
176,2022-08-29,63041095.89041096,50432876.71232877,12608219.178082192
177,2022-08-30,63397260.2739726,50717808.21917808,12679452.05479452
178,2022-08-31,63753424.65753425,51002739.7260274,12750684.93150685
179,2022-09-01,64109589.04109589,51287671.23287671,12821917.808219178
180,2022-09-02,64465753.42465753,51572602.73972603,12893150.684931507
181,2022-09-03,64821917.80821918,51857534.24657534,12964383.561643835
182,2022-09-04,65178082.19178082,52142465.75342466,13035616.438356165
183,2022-09-05,65534246.57534246,52427397.26027397,13106849.315068493
184,2022-09-06,65890410.95890411,52712328.76712329,13178082.191780822
185,2022-09-07,66246575.34246575,52997260.2739726,13249315.06849315
186,2022-09-08,66602739.7260274,53282191.78082192,13320547.94520548
187,2022-09-09,66958904.10958904,53567123.28767123,13391780.821917808
188,2022-09-10,67315068.49315068,53852054.79452055,13463013.698630137
189,2022-09-11,67671232.87671232,54136986.30136986,13534246.575342465
190,2022-09-12,68027397.26027398,54421917.80821918,13605479.452054795
191,2022-09-13,68383561.64383562,54706849.3150685,13676712.328767125
192,2022-09-14,68739726.02739726,54991780.82191781,13747945.205479452
193,2022-09-15,69095890.4109589,55276712.32876713,13819178.082191782
194,2022-09-16,69452054.79452054,55561643.83561644,13890410.95890411
195,2022-09-17,69808219.1780822,55846575.34246576,13961643.83561644
196,2022-09-18,70164383.56164384,56131506.84931507,14032876.712328767
197,2022-09-19,70520547.94520548,56416438.35616439,14104109.589041097
198,2022-09-20,70876712.32876712,56701369.8630137,14175342.465753425
199,2022-09-21,71232876.71232876,56986301.36986302,14246575.342465755
200,2022-09-22,71589041.0958904,57271232.87671233,14317808.219178082
201,2022-09-23,71945205.47945206,57556164.38356165,14389041.095890412
202,2022-09-24,72301369.8630137,57841095.89041096,14460273.97260274
203,2022-09-25,72657534.24657534,58126027.39726028,14531506.84931507
204,2022-09-26,73013698.63013698,58410958.90410959,14602739.726027397
205,2022-09-27,73369863.01369862,58695890.41095891,14673972.602739727
206,2022-09-28,73726027.39726028,58980821.91780822,14745205.479452055
207,2022-09-29,74082191.78082192,59265753.42465754,14816438.356164385
208,2022-09-30,74438356.16438356,59550684.93150685,14887671.232876712
209,2022-10-01,74794520.5479452,59835616.43835617,14958904.109589042
